,Processed File Name,Group,Year,geoBoundaryType,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Recorder (Name),Last Updated Date,gDriveID
0,AFG_ADM0.zip,Afghanistan,2012.0,Authoritative & Humanitarian,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,2020-05-25,https://drive.google.com/file/d/171U02O3GiKY1LkfWNW4i3olLWMJksZfH/view?usp=sharing
1,AFG_ADM1.zip,Afghanistan,2012.0,Authoritative & Humanitarian,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,2020-05-25,https://drive.google.com/file/d/1B1mDi-UUREMIHg6yiJZ_IcQkoDU4i1Q7/view?usp=sharing
2,AFG_ADM2.zip,Afghanistan,2012.0,Authoritative & Humanitarian,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,2020-05-25,https://drive.google.com/file/d/1ZFgd-9vPmHFh0is8bPZZUye6sbJicbtZ/view?usp=sharing
3,ALB_ADM0.zip,Albania,2017.0,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1aoj5sczZi9oBBJIQEZ38jF4HQ6WmTYa7/view?usp=sharing
4,ALB_ADM1.zip,Albania,2017.0,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1155IpRfVL_mafGt9wAHLg-s1Eg_Ytbjz/view?usp=sharing
5,ALB_ADM2.zip,Albania,2013.0,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1D65XWFrSumOUOXFElyp8cUvCI8SPHl6s/view?usp=sharing
6,ALB_ADM3.zip,Albania,2013.0,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1GByqAqrIVRmLcYZn_81n7GWBpFi8BeK6/view?usp=sharing
7,DZA_ADM0.zip,Algeria,2017.0,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1Zd1VBp86Yz4J7A6dzCiKgRghWYGzIcfw/view?usp=sharing
8,DZA_ADM1.zip,Algeria,2017.0,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1E63UbB7Y7R-L-_It_mZ-Ks9nMRl1hcwf/view?usp=sharing
9,DZA_ADM2.zip,Algeria,2017.0,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,2020-05-25,https://drive.google.com/file/d/1r_JAoEOUU3CD_ErDHJT0QJ4djNlLl60D/view?usp=sharing
