NEW OR REMOVED: 
              0
QAT_ADM0.zip  1
RUS_ADM3.zip  1
ATA_ADM0.zip  1
QAT_ADM0      1
QAT_ADM2.zip  1
VAT_ADM0.zip  1
ISO ARG | ADM1 Metadata changed, but the file did not.
ISO MNG | ADM1 Metadata changed, but the file did not.
ISO NER | ADM3 Metadata changed, but the file did not.
ISO NIU | ADM0 does not have a valid year.
ISO NPL | ADM1 Metadata changed, but the file did not.
ISO NIU | ADM1 does not have a valid year.
ISO MMR | ADM0 Metadata changed, but the file did not.
ISO FSM | ADM2 Metadata changed, but the file did not.
ISO MAR | ADM2 Metadata changed, but the file did not.
ISO NLD | ADM1 Metadata changed, but the file did not.
ISO NIU | ADM0 Metadata changed, but the file did not.
ISO MOZ | ADM0 Metadata changed, but the file did not.
ISO MAR | ADM0 Metadata changed, but the file did not.
ISO MNE | ADM1 Metadata changed, but the file did not.
ISO NIU | ADM1 Metadata changed, but the file did not.
ISO MNG | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/MNG/ADM2/MNG_ADM2.shp
ISO NER | ADM0 Metadata changed, but the file did not.
ISO NER | ADM1 Metadata changed, but the file did not.
ISO NAM | ADM2 Metadata changed, but the file did not.
ISO NZL | ADM3 Metadata changed, but the file did not.
ISO OMN | ADM1 Metadata changed, but the file did not.
ISO PSE | ADM0 Metadata changed, but the file did not.
ISO MOZ | ADM3 Metadata changed, but the file did not.
ISO NGA | ADM1 Metadata changed, but the file did not.
ISO NLD | ADM2 Metadata changed, but the file did not.
ISO NOR | ADM0 Metadata changed, but the file did not.
ISO PLW | ADM0 Metadata changed, but the file did not.
ISO MMR | ADM1 Metadata changed, but the file did not.
ISO MNE | ADM0 Metadata changed, but the file did not.
ISO NOR | ADM1 Metadata changed, but the file did not.
ISO PRK | ADM0 Metadata changed, but the file did not.
ISO PNG | ADM1 Metadata changed, but the file did not.
ISO PSE | ADM1 Metadata changed, but the file did not.
ISO NZL | ADM0 Metadata changed, but the file did not.
ISO PAK | ADM2 Metadata changed, but the file did not.
ISO PLW | ADM1 Metadata changed, but the file did not.
ISO PNG | ADM2 Metadata changed, but the file did not.
ISO NRU | ADM2 Metadata changed, but the file did not.
ISO PAK | ADM1 Metadata changed, but the file did not.
ISO NER | ADM2 Metadata changed, but the file did not.
ISO PAK | ADM0 Metadata changed, but the file did not.
ISO PRY | ADM2 Metadata changed, but the file did not.
ISO NPL | ADM2 Metadata changed, but the file did not.
ISO NPL | ADM0 Metadata changed, but the file did not.
ISO PAN | ADM1 Metadata changed, but the file did not.
ISO NRU | ADM1 Metadata changed, but the file did not.
ISO OMN | ADM0 Metadata changed, but the file did not.
ISO PER | ADM1 Metadata changed, but the file did not.
ISO PRT | ADM2 Metadata changed, but the file did not.
ISO PNG | ADM3 Metadata changed, but the file did not.
ISO PRK | ADM2 Metadata changed, but the file did not.
ISO PRY | ADM0 Metadata changed, but the file did not.
ISO PRK | ADM1 Metadata changed, but the file did not.
ISO PRY | ADM1 Metadata changed, but the file did not.
ISO PHL | ADM1 Metadata changed, but the file did not.
ISO OMN | ADM2 Metadata changed, but the file did not.
ISO PSE | ADM2 Metadata changed, but the file did not.
ISO POL | ADM1 Metadata changed, but the file did not.
ISO PAN | ADM0 Metadata changed, but the file did not.
ISO PAN | ADM2 Metadata changed, but the file did not.
ISO PHL | ADM3 Metadata changed, but the file did not.
ISO NGA | ADM2 Metadata changed, but the file did not.
ISO PNG | ADM0 Metadata changed, but the file did not.
ISO COG | ADM2 Metadata changed, but the file did not.
ISO NZL | ADM1 Metadata changed, but the file did not.
ISO PER | ADM2 Metadata changed, but the file did not.
ISO PRT | ADM0 Metadata changed, but the file did not.
ISO RWA | ADM1 Metadata changed, but the file did not.
ISO NZL | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/NZL/ADM2/NZL_ADM2.shp
ISO PRT | ADM1 Metadata changed, but the file did not.
ISO PAN | ADM3: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO POL | ADM2 Metadata changed, but the file did not.
ISO PAN | ADM3: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO PAN | ADM3: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO PHL | ADM2 Metadata changed, but the file did not.
ISO STP | ADM0 Metadata changed, but the file did not.
ISO PAN | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/PAN/ADM3/PAN_ADM3.shp
ISO STP | ADM1 Metadata changed, but the file did not.
ISO COG | ADM0 Metadata changed, but the file did not.
ISO PRT | ADM3 Metadata changed, but the file did not.
ISO SMR | ADM1 Metadata changed, but the file did not.
ISO QAT | ADM1 Metadata changed, but the file did not.
ISO NOR | ADM2 Metadata changed, but the file did not.
ISO POL | ADM0 Metadata changed, but the file did not.
ISO POL | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/POL/ADM3/POL_ADM3.shp
ISO NGA | ADM0 Metadata changed, but the file did not.
ISO PER | ADM0 Metadata changed, but the file did not.
ISO WSM | ADM0 Metadata changed, but the file did not.
ISO SLE | ADM1 Metadata changed, but the file did not.
ISO SEN | ADM2 Metadata changed, but the file did not.
ISO RWA | ADM0 Metadata changed, but the file did not.
ISO COG | ADM1 Metadata changed, but the file did not.
ISO SAU | ADM0 Metadata changed, but the file did not.
ISO RUS | ADM1 Metadata changed, but the file did not.
ISO SGP | ADM2 Metadata changed, but the file did not.
ISO SEN | ADM0 Metadata changed, but the file did not.
ISO SVK | ADM1 Metadata changed, but the file did not.
ISO SGP | ADM1 Metadata changed, but the file did not.
ISO WSM | ADM1 Metadata changed, but the file did not.
ISO SAU | ADM1 Metadata changed, but the file did not.
ISO SVK | ADM0 Metadata changed, but the file did not.
ISO SEN | ADM1 Metadata changed, but the file did not.
ISO SRB | ADM1 Metadata changed, but the file did not.
ISO PHL | ADM0: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/PHL/ADM0/PHL_ADM0.shp
ISO SVN | ADM2 Metadata changed, but the file did not.
ISO SVN | ADM1 Metadata changed, but the file did not.
ISO ROU | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/ROU/ADM2/ROU_ADM2.shp
ISO SLE | ADM0 Metadata changed, but the file did not.
ISO SOM | ADM1 Metadata changed, but the file did not.
ISO STP | ADM2 Metadata changed, but the file did not.
ISO RUS | ADM0 Metadata changed, but the file did not.
ISO SRB | ADM2 Metadata changed, but the file did not.
ISO ZAF | ADM1 Metadata changed, but the file did not.
ISO QAT | ADM0 Metadata changed, but the file did not.
ISO ZAF | ADM0 Metadata changed, but the file did not.
ISO ZAF | ADM2 Metadata changed, but the file did not.
ISO RWA | ADM4 Metadata changed, but the file did not.
ISO ZAF | ADM3 Metadata changed, but the file did not.
ISO SYC | ADM1 Metadata changed, but the file did not.
ISO SMR | ADM0 Metadata changed, but the file did not.
ISO RWA | ADM2 Metadata changed, but the file did not.
ISO SRB | ADM0 Metadata changed, but the file did not.
ISO RWA | ADM3 Metadata changed, but the file did not.
ISO SEN | ADM3 Metadata changed, but the file did not.
ISO RUS | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/RUS/ADM2/RUS_ADM2.shp
ISO KOR | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/KOR/ADM3/KOR_ADM3.shp
ISO SLB | ADM1 Metadata changed, but the file did not.
ISO KOR | ADM1 Metadata changed, but the file did not.
ISO SLE | ADM3 Metadata changed, but the file did not.
ISO LKA | ADM2 Metadata changed, but the file did not.
ISO SLE | ADM2 Metadata changed, but the file did not.
ISO LKA | ADM3 Metadata changed, but the file did not.
ISO SLB | ADM0 Metadata changed, but the file did not.
ISO SVK | ADM4: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/SVK/ADM4/SVK_ADM4.shp
ISO ESP | ADM0 Metadata changed, but the file did not.
ISO ESP | ADM1 Metadata changed, but the file did not.
ISO SYC | ADM0 Metadata changed, but the file did not.
ISO SSD | ADM0 Metadata changed, but the file did not.
ISO LKA | ADM0 Metadata changed, but the file did not.
ISO SDN | ADM0 Metadata changed, but the file did not.
ISO LCA | ADM1 Metadata changed, but the file did not.
ISO SOM | ADM0 Metadata changed, but the file did not.
ISO SSD | ADM2 Metadata changed, but the file did not.
ISO SGP | ADM0 Metadata changed, but the file did not.
ISO SVN | ADM0 Metadata changed, but the file did not.
ISO SVK | ADM2 Metadata changed, but the file did not.
ISO SOM | ADM2 Metadata changed, but the file did not.
ISO ESP | ADM4 Metadata changed, but the file did not.
ISO SAU | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/SAU/ADM2/SAU_ADM2.shp
ISO SLB | ADM3 Metadata changed, but the file did not.
ISO SLE | ADM4 Metadata changed, but the file did not.
ISO SLB | ADM2 Metadata changed, but the file did not.
ISO SDN | ADM2 Metadata changed, but the file did not.
ISO VCT | ADM0 Metadata changed, but the file did not.
ISO ZAF | ADM4 Metadata changed, but the file did not.
ISO SVK | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/SVK/ADM3/SVK_ADM3.shp
ISO KNA | ADM0 Metadata changed, but the file did not.
ISO SLB | ADM4 Metadata changed, but the file did not.
ISO KOR | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/KOR/ADM2/KOR_ADM2.shp
ISO TWN | ADM1 Metadata changed, but the file did not.
ISO SWZ | ADM1 Metadata changed, but the file did not.
ISO KNA | ADM1 Metadata changed, but the file did not.
ISO LCA | ADM0 Metadata changed, but the file did not.
ISO LKA | ADM1 Metadata changed, but the file did not.
ISO SYR | ADM0 Metadata changed, but the file did not.
ISO SSD | ADM1 Metadata changed, but the file did not.
ISO TWN | ADM0 Metadata changed, but the file did not.
ISO TZA | ADM0 Metadata changed, but the file did not.
ISO SWE | ADM1 Metadata changed, but the file did not.
ISO SYR | ADM1 Metadata changed, but the file did not.
ISO VCT | ADM1 Metadata changed, but the file did not.
ISO ESP | ADM2 Metadata changed, but the file did not.
ISO LKA | ADM4 Metadata changed, but the file did not.
ISO SUR | ADM1 Metadata changed, but the file did not.
ISO TLS | ADM2 Metadata changed, but the file did not.
ISO SDN | ADM1 Metadata changed, but the file did not.
ISO KOR | ADM0 Metadata changed, but the file did not.
ISO TGO | ADM2 Metadata changed, but the file did not.
ISO TJK | ADM2 Metadata changed, but the file did not.
ISO SWZ | ADM0 Metadata changed, but the file did not.
ISO CHE | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/CHE/ADM3/CHE_ADM3.shp
ISO TZA | ADM3 Metadata changed, but the file did not.
ISO TLS | ADM1 Metadata changed, but the file did not.
ISO TON | ADM1 Metadata changed, but the file did not.
ISO TZA | ADM1 Metadata changed, but the file did not.
ISO TGO | ADM0 Metadata changed, but the file did not.
ISO SWZ | ADM2 Metadata changed, but the file did not.
ISO SYR | ADM2 Metadata changed, but the file did not.
ISO TTO | ADM1 Metadata changed, but the file did not.
ISO SYR | ADM3 Metadata changed, but the file did not.
ISO SUR | ADM0 Metadata changed, but the file did not.
ISO THA | ADM1 Metadata changed, but the file did not.
ISO SUR | ADM2 Metadata changed, but the file did not.
ISO TJK | ADM1 Metadata changed, but the file did not.
ISO TUV | ADM1 Metadata changed, but the file did not.
ISO TKM | ADM1 Metadata changed, but the file did not.
ISO TGO | ADM1 Metadata changed, but the file did not.
ISO CHE | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/CHE/ADM2/CHE_ADM2.shp
ISO SWE | ADM0 Metadata changed, but the file did not.
ISO TUV | ADM0 Metadata changed, but the file did not.
ISO TTO | ADM0 Metadata changed, but the file did not.
ISO CHE | ADM1 Metadata changed, but the file did not.
ISO SWE | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/SWE/ADM2/SWE_ADM2.shp
ISO UGA | ADM1 Metadata changed, but the file did not.
ISO TWN | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/TWN/ADM2/TWN_ADM2.shp
ISO TUR | ADM0 Metadata changed, but the file did not.
ISO TKM | ADM0 Metadata changed, but the file did not.
ISO UKR | ADM1 Metadata changed, but the file did not.
ISO UKR | ADM2 Metadata changed, but the file did not.
ISO TJK | ADM0 Metadata changed, but the file did not.
ISO ARE | ADM0 Metadata changed, but the file did not.
ISO TUR | ADM2 Metadata changed, but the file did not.
ISO THA | ADM0 Metadata changed, but the file did not.
ISO TLS | ADM0 Metadata changed, but the file did not.
ISO UKR | ADM3 Metadata changed, but the file did not.
ISO TUV | ADM2 Metadata changed, but the file did not.
ISO TKM | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/TKM/ADM2/TKM_ADM2.shp
ISO TUN | ADM1 Metadata changed, but the file did not.
ISO GBR | ADM1 Metadata changed, but the file did not.
ISO USA | ADM0 Metadata changed, but the file did not.
ISO UZB | ADM1 Metadata changed, but the file did not.
ISO VUT | ADM0 Metadata changed, but the file did not.
ISO SWE | ADM3 Metadata changed, but the file did not.
ISO TON | ADM0 Metadata changed, but the file did not.
ISO URY | ADM1 Metadata changed, but the file did not.
ISO VEN | ADM1 Metadata changed, but the file did not.
ISO TUR | ADM1 Metadata changed, but the file did not.
ISO VNM | ADM0 Metadata changed, but the file did not.
ISO TON | ADM2 Metadata changed, but the file did not.
ISO TZA | ADM2 Metadata changed, but the file did not.
ISO ARE | ADM1 Metadata changed, but the file did not.
ISO UZB | ADM0 Metadata changed, but the file did not.
ISO UGA | ADM2 Metadata changed, but the file did not.
ISO TUN | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/TUN/ADM3/TUN_ADM3.shp
ISO ZMB | ADM2 Metadata changed, but the file did not.
ISO ZMB | ADM0 Metadata changed, but the file did not.
ISO TUN | ADM0 Metadata changed, but the file did not.
ISO VUT | ADM2 Metadata changed, but the file did not.
ISO ZWE | ADM2 Metadata changed, but the file did not.
ISO VNM | ADM2 Metadata changed, but the file did not.
ISO GBR | ADM0 Metadata changed, but the file did not.
ISO TUV | ADM3 Metadata changed, but the file did not.
ISO UKR | ADM0 Metadata changed, but the file did not.
ISO TUN | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/TUN/ADM2/TUN_ADM2.shp
ISO UZB | ADM2 Metadata changed, but the file did not.
ISO VEN | ADM0 Metadata changed, but the file did not.
ISO ZMB | ADM1 Metadata changed, but the file did not.
ISO VUT | ADM3 Metadata changed, but the file did not.
ISO YEM | ADM2 Metadata changed, but the file did not.
ISO THA | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/THA/ADM2/THA_ADM2.shp
ISO UGA | ADM0 Metadata changed, but the file did not.
ISO USA | ADM1 Metadata changed, but the file did not.
ISO VUT | ADM1 Metadata changed, but the file did not.
ISO VAT | ADM0 File changed, but the metadata did not.
ISO CHE | ADM0 Metadata changed, but the file did not.
ISO ZWE | ADM0 Metadata changed, but the file did not.
ISO YEM | ADM1 Metadata changed, but the file did not.
ISO ZWE | ADM1 Metadata changed, but the file did not.
ISO VNM | ADM1 Metadata changed, but the file did not.
ISO YEM | ADM0 Metadata changed, but the file did not.
ISO URY | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO URY | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/URY/ADM2/URY_ADM2.shp
ISO USA | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/USA/ADM2/USA_ADM2.shp
ISO VEN | ADM2 Metadata changed, but the file did not.
ISO GBR | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/GBR/ADM2/GBR_ADM2.shp
ISO URY | ADM0 Metadata changed, but the file did not.
ISO GBR | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/GBR/ADM3/GBR_ADM3.shp
