,Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Unnamed: 11,Link to Source Data.1,Changes,Known Errors,Raw File Name,Recorder (Name),Last Updated Date,Process File Name QA Check,File Name ISO Code,Process File Name Existance Check,Source Check,License Check,License Source Check,Link to Source Data Check
0,AFG_ADM0.zip,Afghanistan,2012.0,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,afg_admbnd_adm1_pol_shp.zip,,0,afg_admbnd_adm1_pol_shp.zip,,,,,,,,,,
1,AFG_ADM1.zip,Afghanistan,2012.0,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,afg_admbnd_adm2_pol_shp.zip,,0,afg_admbnd_adm1_pol_shp.zip,,,,,,,,,,
2,AFG_ADM2.zip,Afghanistan,2012.0,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,,0,afg_admbnd_adm2_pol_shp.zip,,,,,,,,,,
3,ALB_ADM0.zip,Albania,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_Adm1.zip,,0,Albania_Adm1.zip,,,,,,,,,,
4,ALB_ADM1.zip,Albania,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_Adm1.zip,,0,Albania_Adm1.zip,,,,,,,,,,
5,ALB_ADM2.zip,Albania,2013.0,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_AL7.zip,,0,Albania_AL7.zip,,,,,,,,,,
6,ALB_ADM3.zip,Albania,2013.0,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,Albania_AL8.zip,,0,Albania_AL8.zip,,,,,,,,,,
7,DZA_ADM0.zip,Algeria,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Algeria.shp.zip,,0,exported_boundaries_Algeria.shp.zip,,,,,,,,,,
8,DZA_ADM1.zip,Algeria,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Algeria.shp.zip,,0,exported_boundaries_Algeria.shp.zip,,,,,,,,,,
9,DZA_ADM2.zip,Algeria,2017.0,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Algeria.shp.zip,,0,exported_boundaries_Algeria.shp.zip,,,,,,,,,,
10,DZA_ADM3.zip,Algeria,2017.0,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Algeria.shp.zip,,0,exported_boundaries_Algeria.shp.zip,,,,,,,,,,
11,AND_ADM0.zip,Andorra,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Andorra.shp.zip,,0,exported_boundaries_Andorra.shp.zip,,,,,,,,,,
12,AND_ADM1.zip,Andorra,2017.0,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Andorra.shp.zip,,0,exported_boundaries_Andorra.shp.zip,,,,,,,,,,
13,AGO_ADM0.zip,Angola,2017.0,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,exported_boundaries_Bengo.shp.zip,,0,exported_boundaries_Bengo.shp.zip,,,,,,,,,,
