,Processed File Name,Group,Year,geoBoundaryType,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Recorder (Name),Last Updated Date
0,AFG_ADM0.zip,Afghanistan,2012,Authoritative & Humanitarian,ADM 0,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,5/25/20
1,AFG_ADM1.zip,Afghanistan,2012,Authoritative & Humanitarian,ADM 1,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,5/25/20
2,AFG_ADM2.zip,Afghanistan,2012,Authoritative & Humanitarian,ADM 2,"Afghanistan Geodesy and Cartography Head Office (AGCHO), Humanitarian Data Exchange","United Nations Office for the Coordination of Humanitarian Affairs, Afghanistan",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/afg-admin-boundaries,No,https://data.humdata.org/dataset/afg-admin-boundaries,,5/25/20
13,AGO_ADM0.zip,Angola,2017,Humanitarian,ADM 0,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,Sydney Fuhrig,6/25/20
14,AGO_ADM1.zip,Angola,2017,Humanitarian,ADM 1,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,Sydney Fuhrig,6/25/20
17,AGO_ADM2.zip,Angola,2018,Humanitarian,ADM 2,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,,5/25/20
18,AGO_ADM3.zip,Angola,2018,Humanitarian,ADM 3,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,No,https://data.humdata.org/dataset/angola-administrative-levels-0-3,,5/25/20
24,ARG_ADM2.zip,Argentina,2017,Humanitarian,ADM 2,IGN,,Other - Humanitarian,Direct Permissions,https://www.ign.gob.ar/descargas/tyc1.html,No,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG,,5/25/20
27,ARM_ADM2.zip,Armenia,2019,Humanitarian,ADM 2,HDX,"OCHA, ROCCA",Other - Humanitarian,Other - Humanitarian,https://data.humdata.org/dataset/armenia-administrative-boundaries,No,https://data.humdata.org/dataset/armenia-administrative-boundaries,,5/25/20
45,BGD_ADM2.zip,Bangladesh,2015,Humanitarian,ADM 2,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,No,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,,5/25/20
